Weekday,Time_Period,Revenue
Mon,Morning,74160000.0
Mon,Afternoon,215910000.0
Mon,Evening,297135000.0
Tue,Morning,52200000.0
Tue,Afternoon,160020000.0
Tue,Evening,394065000.0
Wed,Morning,131965000.0
Wed,Afternoon,374285000.0
Wed,Evening,312575000.0
Thu,Morning,128430000.0
Thu,Afternoon,371880000.0
Thu,Evening,440310000.0
Fri,Morning,76500000.0
Fri,Afternoon,370260000.0
Fri,Evening,397755000.0
Sat,Morning,102015000.0
Sat,Afternoon,414135000.0
Sat,Evening,360135000.0
Sun,Morning,94140000.0
Sun,Afternoon,478905000.0
Sun,Evening,511425000.0
